phulangsunguy	phulangsu/NPR+nguy/PAN
ngipocok	ngipo/NPR+cok/XSF
cwumintulngun	cwumin/NNC+tul/XSF+ngun/PAU
cinancwu	cinancwu/NNC
pwukpwu	pwukpwu/NNC
khatwunasingeyse	khatwuna/NPR+si/NNC+ngeyse/PAD
kathngun	kath/VJ+ngun/EAN
congcok	congcok/NNC
cwumintulngi	cwumin/NNC+tul/XSF+ngi/PCA
salhaytanghan	salhaytangha/VV+ngun/EAN
tey	tey/NNX
tayhan	tayha/VV+ngun/EAN
popokngulo	popok/NNC+ngulo/PAD
cinantal	cinantal/NNC
28	28/NNU
ngil	ngil/NNX
nampwu	nampwu/NNC
ngapa	ngapa/NPR
mangulnguy	mangul/NNC+nguy/PAN
hosa	hosa/NPR
cwumintulngul	cwumin/NNC+tul/XSF+ngul/PCA
kongkyekhayssnuntey	kongkyek/NNC+ha/XSV+ngess/EPF+nuntey/ECS
ngaphse	ngaphse/ADV
ngoykyo	ngoykyo/NNC
mich	mich/ADC
sangep	sangep/NNC
sosikthongtulngun	sosikthong/NNC+tul/XSF+ngun/PAU
28	28/NNU
ngilkwa	ngil/NNX+kwa/PCJ
29	29/NNU
ngil	ngil/NNX
ngapa	ngapa/NPR
mangulnguy	mangul/NNC+nguy/PAN
hosa	hosa/NPR
cwumintulngi	cwumin/NNC+tul/XSF+ngi/PCA
ngipocok	ngipo/NPR+cok/NNC
cwumintulngey	cwumin/NNC+tul/XSF+ngey/PAD
nguyhay	nguyha/VV+nge/ECS
cocikcekngulo	cocik/NNC+cek/XSF+ngulo/PAD
salhaytwaysstako	salhay/NNC+toy/XSV+ngess/EPF+ta/EFN+ko/PAD
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngapa	ngapa/NPR
mangulngey	mangul/NNC+ngey/PAD
cengthonghan	cengthong/NNC+ha/XSV+ngun/EAN
cengpomangngul	cengpomang/NNC+ngul/PCA
kacko	kac/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
han	han/NNU
ngoykyososikthongngun	ngoykyo/NNC+sosikthong/NNC+ngun/PAU
"^LQ	"/SLQ
ngi	ngi/DAN
cingyekngeyse	cingyek/NNC+ngeyse/PAD
haksalngi	haksal/NNC+ngi/PCA
pelngeciko	pelngeci/VV+ko/ECS
ngissngumngi	ngiss/VX+ngum/ENM+ngi/PCA
pwunmyenghata	pwunmyeng/NNC+ha/XSV+ta/EFN
"^RQ	"/SRQ
ko	ko/PAD
cenhayssnuntey	cenha/VV+ngess/EPF+nuntey/ECS
hyencilul	hyenci/NNC+ngul/PCA
pangmwunhan	pangmwun/NNC+ha/XSV+ngun/EAN
nangicilinga	nangicilinga/NPR
kicatulngun	kica/NNC+tul/XSF+ngun/PAU
choysohan	choysohan/NNC
300	300/NNU
myengnguy	myeng/NNX+nguy/PAN
haksal	haksal/NNC
huysayngcatulngul	huysayngca/NNC+tul/XSF+ngul/PCA
hwaknginhaysstako	hwakngin/NNC+ha/XSV+ngess/EPF+ta/EFN+ko/PAD
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
haksalngi	haksal/NNC+ngi/PCA
pelngecin	pelngeci/VV+ngun/EAN
ngapa	ngapa/NPR
mangulngeynun	mangul/NNC+ngey/PAD+ngun/PAU
29	29/NNU
ngil	ngil/NNX
kwuntayka	kwuntay/NNC+ngi/PCA
phakyentway	phakyen/NNC+toy/XSV+nge/ECS
hyencay	hyencay/NNC
sanghwangngul	sanghwang/NNC+ngul/PCA
cangngakcwungngilako	cangngak/NNC+cwungngi/NNC+ngi/CO+la/EFN+ko/PAD
kwun	kwun/NNC
sosikthongngun	sosikthong/NNC+ngun/PAU
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
nangicilinganay	nangicilinga/NPR+nay/NNC
twu	twu/NNU
congcokkannguy	congcok/NNC+kan/XSF+nguy/PAN
ngyuhyelpwunkyulo	ngyuhyel/NNC+pwunkyu/NNC+ngulo/PAD
cinan	cinan/DAN
10	10/NNU
ngil	ngil/NNX
tongngan	tongngan/NNC
motwu	motwu/NNC
1	1/NNU
chenngyemyengngi	chen/NNU+ngye/XSF+myeng/NNX+ngi/PCA
huysayngtwayssnuntey	huysayng/NNC+toy/XSV+ngess/EPF+nuntey/ECS
ngaphse	ngaphse/ADV
pwukpwu	pwukpwu/NNC
khatwunangeysenun	khatwuna/NPR+ngeyse/PAD+ngun/PAU
hoykyo	hoykyo/NNC
syalingapepnguy	syalinga/NPR+pep/NNC+nguy/PAN
tongipngul	tongip/NNC+ngul/PCA
twullessako	twullessa/VV+ko/ECS
hoykyotongin	hoykyoto/NNC+ngi/CO+ngun/EAN
hosacongcokkwa	hosa/NPR+congcok/NNC+kwa/PCJ
kitokkyongin	kitokkyongin/NNC
ngipocokkannguy	ngipo/NPR+cok/NNC+kan/XSF+nguy/PAN
ngyuhyelchwungtollo	ngyuhyel/NNC+chwungtol/NNC+ngulo/PAD
swupaykmyengngi	swupayk/NNU+myeng/NNX+ngi/PCA
salhaytwayssngessta	salhay/NNC+toy/XSV+ngessngess/EPF+ta/EFN
.	./SFN
^EOS
ngipen	ngipen/NNC
twu	twu/NNU
congcokkannguy	congcok/NNC+kan/XSF+nguy/PAN
ngyuhyelchwungtolngun	ngyuhyel/NNC+chwungtol/NNC+ngun/PAU
30	30/NNU
nyencen	nyen/NNX+cen/NNC
congsiktoyn	congsik/NNC+toy/XSV+ngun/EAN
pingaphula	pingaphula/NPR
naycen	naycen/NNC
ngihwu	ngihwu/NNC
choytay	choytay/NNC
chamsalo	chamsa/NNC+ngulo/PAD
tangsi	tangsi/NNC
ngipocok	ngipo/NPR+cok/NNC
cwumintulngi	cwumin/NNC+tul/XSF+ngi/PCA
pwunlitoklipngul	pwunli/NNC+toklip/NNC+ngul/PCA
sitohamyense	sito/NNC+ha/XSV+ngumyense/ECS
hosacokngi	hosacok/NPR+ngi/PCA
ngikkunun	ngikkul/VV+nun/EAN
cwungngangcengpwungwa	cwungngang/NNC+cengpwu/NNC+kwa/PAD
chwungtolhayssngessta	chwungtol/NNC+ha/XSV+ngessngess/EPF+ta/EFN
.	./SFN
^EOS
ngisulangeyl	ngisulangeyl/NPR
nguyhoynun	nguyhoy/NNC+ngun/PAU
1	1/NNU
ngil	ngil/NNX
ngyellin	ngyelli/VV+ngun/EAN
ngyeypitokhoyngeyse	ngyeypi/NNC+tokhoy/NNC+ngeyse/PAD
silingangwanguy	silinga/NPR+kwa/PAD+nguy/PAN
phyenghwahyepceng	phyenghwa/NNC+hyepceng/NNC
sungnginngul	sungngin/NNC+ngul/PCA
ngwihan	ngwiha/VV+ngun/EAN
kwukminthwuphyoka	kwukmin/NNC+thwuphyo/NNC+ngi/PCA
kakyeltoylyemyen	kakyel/NNC+toy/XSV+ngulyemyen/ECS
silcey	silcey/NNC
thwuphyocaka	thwuphyoca/NNC+ngi/PCA
nganin	ngani/VJ+ngun/EAN
ngyukwencanguy	ngyukwenca/NNC+nguy/PAN
kwapanswu	kwapanswu/NNC
chansengngul	chanseng/NNC+ngul/PCA
ngettolok	nget/VV+tolok/ECS
ngyokenngul	ngyoken/NNC+ngul/PCA
kanghwahan	kanghwa/NNC+ha/XSV+ngun/EAN
pepnganngul	pepngan/NNC+ngul/PCA
thongkwasikhimngulosse	thongkwa/NNC+sikhi/XSV+ngum/ENM+ngulosse/PAD
silingangwanguy	silinga/NPR+kwa/PAD+nguy/PAN
phyenghwahoytamngul	phyenghwa/NNC+hoytam/NNC+ngul/PCA
chwucinhanun	chwucin/NNC+ha/XSV+nun/EAN
ngeyhwutu	ngeyhwutu/NPR
palakhu	palakhu/NPR
ngisulangeyl	ngisulangeyl/NPR
chonglinguy	chongli/NNC+nguy/PAN
ngipcika	ngipci/NNC+ngi/PCA
khukey	khu/VJ+key/ECS
ngyakhwatwayssta	ngyakhwa/NNC+toy/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
tto	tto/ADC
palakhu	palakhu/NPR
chonglika	chongli/NNC+ngi/PCA
silingangwanguy	silinga/NPR+kwa/PAD+nguy/PAN
phyenghwahoytam	phyenghwa/NNC+hoytam/NNC
caykaylul	caykay/NNC+ngul/PCA
ngwihay	ngwiha/VV+nge/ECS
ngayssunun	ngayssu/VV+nun/EAN
ngwacwungngey	ngwacwung/NNC+ngey/PAD
ngikathngun	ngi/NPN+kath/VJ+ngun/EAN
pepnganngi	pepngan/NNC+ngi/PCA
ngyeypitokhoyngeyse	ngyeypi/NNC+tokhoy/NNC+ngeyse/PAD
kakyeltoymngey	kakyel/NNC+toy/XSV+ngum/ENM+ngey/PAD
ttala	ttalu/VV+nge/ECS
palakhu	palakhu/NPR
chonglinguy	chongli/NNC+nguy/PAN
cengchilyekngey	cengchilyek/NNC+ngey/PAD
tayhan	tayha/VV+ngun/EAN
nguykwusimngi	nguykwusim/NNC+ngi/PCA
ngyakitoyko	ngyaki/NNC+toy/XSV+ko/ECS
ngissngumye	ngiss/VX+ngumye/ECS
ngingey	ngi/NPN+ngey/PAD
ttala	ttalu/VV+nge/ECS
silingangwanguy	silinga/NPR+kwa/PAD+nguy/PAN
phyenghwahyepsang	phyenghwa/NNC+hyepsang/NNC
caykayka	caykay/NNC+ngi/PCA
tengwuk	tengwuk/ADV
ngelyengwecil	ngelyep/VJ+nge/ECS+ci/VX+ngul/EAN
kesngulo	kes/NNX+ngulo/PAD
pwunsektoyko	pwunsek/NNC+toy/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
ngisulangeyl	ngisulangeyl/NPR
nguyhoynun	nguyhoy/NNC+ngun/PAU
nginal	nginal/NNC
ngyeypitokhoyngeyse	ngyeypi/NNC+tokhoy/NNC+ngeyse/PAD
chanseng	chanseng/NNC
60	60/NNU
,	,/SCM
pantay	pantay/NNC
53	53/NNU
,	,/SCM
kikwen	kikwen/NNC
1lo	1/NNU+ngulo/PAD
ngi	ngi/DAN
pepnganngul	pepngan/NNC+ngul/PCA
kakyelhayssngumye	kakyel/NNC+ha/XSV+ngess/EPF+ngumye/ECS
ngi	ngi/DAN
pepnganngi	pepngan/NNC+ngi/PCA
choycong	choycong/NNC
kakyeltoylyemyen	kakyel/NNC+toy/XSV+ngulyemyen/ECS
cey	cey/DAN
3	3/NNU
tokhoykkaci	tokhoy/NNC+kkaci/PAU
thongkwahayngya	thongkwa/NNC+ha/XSV+ngengya/ECS
hanta	ha/VX+nunta/EFN
.	./SFN
^EOS
ngi	ngi/DAN
pepnganngi	pepngan/NNC+ngi/PCA
choycongthongkwatoyl	choycong/NNC+thongkwa/NNC+toy/XSV+ngul/EAN
kyengngwu	kyengngwu/NNC
,	,/SCM
silingangwanguy	silinga/NPR+kwa/PAD+nguy/PAN
phyenghwahyepsang	phyenghwa/NNC+hyepsang/NNC
sungngin	sungngin/NNC
kwukminthwuphyoka	kwukmin/NNC+thwuphyo/NNC+ngi/PCA
kakyeltoylyemyen	kakyel/NNC+toy/XSV+ngulyemyen/ECS
thwuphyongyulngi	thwuphyongyul/NNC+ngi/PCA
80	80/NNU
pheseynthulul	pheseynthu/NNX+ngul/PCA
nemngengya	nem/VV+ngengya/ECS
hako	ha/VX+ko/ECS
thwuphyocanguy	thwuphyoca/NNC+nguy/PAN
60	60/NNU
pheseynthungisangngi	pheseynthu/NNX+ngisang/NNC+ngi/PCA
chansenghayngya	chanseng/NNC+ha/XSV+ngengya/ECS
hanta	ha/VX+nunta/EFN
.	./SFN
^EOS
tengwukngi	tengwukngi/ADV
ngisulangeylngun	ngisulangeyl/NPR+ngun/PAU
hayngoyngey	hayngoy/NNC+ngey/PAD
kecwuhanun	kecwu/NNC+ha/XSV+nun/EAN
swusipmanmyengnguy	swusipman/NNU+myeng/NNX+nguy/PAN
ngisulangeylnginngeykey	ngisulangeyl/NPR+ngin/XSF+ngeykey/PAD
thwuphyokwenngul	thwuphyokwen/NNC+ngul/PCA
pwungyehako	pwungye/NNC+ha/XSV+ko/ECS
ngissnguna	ngiss/VX+nguna/ECS
pwucayca	pwucayca/NNC
thwuphyonun	thwuphyo/NNC+ngun/PAU
hengyonghaci	hengyong/NNC+ha/XSV+ci/ECS
nganhki	nganh/VX+ki/ENM
ttaymwunngey	ttaymwun/NNX+ngey/PAD
ngyukwenca	ngyukwenca/NNC
celpanngisangnguy	celpan/NNC+ngisang/NNC+nguy/PAN
chansengngul	chanseng/NNC+ngul/PCA
ngetkika	nget/VV+ki/ENM+ngi/PCA
mayngwu	mayngwu/ADV
ngelyengwun	ngelyep/VJ+ngun/EAN
silcengngita	silceng/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
ngi	ngi/DAN
pepnganngun	pepngan/NNC+ngun/PAU
ngyatangngin	ngyatang/NNC+ngi/CO+ngun/EAN
likhwututangngi	likhwutu/NPR+tang/NNC+ngi/PCA
ceychwulhayssngumye	ceychwul/NNC+ha/XSV+ngess/EPF+ngumye/ECS
nginal	nginal/NNC
nguyhoyphyokyelngeyse	nguyhoy/NNC+phyokyel/NNC+ngeyse/PAD
ngyencengngey	ngyenceng/NNC+ngey/PAD
chamkahako	chamka/NNC+ha/XSV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
6	6/NNU
kaytang	kay/NNX+tang/XSF
cwung	cwung/NNC
3	3/NNU
kaytangngi	kay/NNX+tang/XSF+ngi/PCA
ngyatangphyenngey	ngyatang/NNC+phyen/NNC+ngey/PAD
sessta	se/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngisulangeylngeyse	ngisulangeyl/NPR+ngeyse/PAD
silingangwanguy	silinga/NPR+kwa/PAD+nguy/PAN
phyenghwahyepcengngi	phyenghwa/NNC+hyepceng/NNC+ngi/PCA
choycong	choycong/NNC
sungngintoyki	sungngin/NNC+toy/XSV+ki/ENM
ngwihaysenun	ngwiha/VV+ngese/ECS+ngun/PAU
kwukmwuhoynguy	kwukmwu/NNC+hoynguy/NNC
thongkwa	thongkwa/NNC
,	,/SCM
nguyhoyngeyse	nguyhoy/NNC+ngeyse/PAD
120	120/NNU
myeng	myeng/NNX
caycek	caycek/NNC
nguyngwen	nguyngwen/NNC
cwung	cwung/NNC
61	61/NNU
myeng	myeng/NNX
ngisang	ngisang/NNC
chanseng	chanseng/NNC
,	,/SCM
kwukminthwuphyo	kwukmin/NNC+thwuphyo/NNC
kakyeltungnguy	kakyel/NNC+tung/NNX+nguy/PAN
3	3/NNU
tankyeylul	tankyey/NNC+ngul/PCA
kechyengya	kechi/VV+ngengya/ECS
hanta	ha/VX+nunta/EFN
.	./SFN
^EOS
chotay	chotay/NNC
minsen	minsen/NNC
lentensicang	lenten/NPR+sicang/NNC
hwupo	hwupo/NNC
senchwulngul	senchwul/NNC+ngul/PCA
twullessako	twullessa/VV+ko/ECS
cinan	cinan/DAN
89	89/NNU
nyen	nyen/NNX
sahoymincwutangkwanguy	sahoymincwutang/NPR+kwa/PAD+nguy/PAN
kyelpyel	kyelpyel/NNC
ngihwu	ngihwu/NNC
choytaynguy	choytay/NNC+nguy/PAN
naypwu	naypwu/NNC
pwunngyelsangngul	pwunngyel/NNC+sang/XSF+ngul/PCA
pongiko	pongi/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
notongtangnguy	notongtang/NPR+nguy/PAN
naypwunngi	naypwun/NNC+ngi/PCA
naycwukkaci	naycwu/NNC+kkaci/PAU
ngingecil	ngingeci/VV+ngul/EAN
cenmangngita	cenmang/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
thukhi	thukhi/ADV
lentensicang	lenten/NPR+sicang/NNC
senke	senke/NNC
hwupotulnguy	hwupo/NNC+tul/XSF+nguy/PAN
senkengyunginmwul	senke/NNC+ngyunginmwul/NNC
palsongpingyongngul	palsong/NNC+pingyong/NNC+ngul/PCA
cengpwuka	cengpwu/NNC+ngi/PCA
pwutamhatolok	pwutam/NNC+ha/XSV+tolok/ECS
hanun	ha/VX+nun/EAN
pepnganngi	pepngan/NNC+ngi/PCA
naycwu	naycwu/NNC
cwung	cwung/NNC
nguyhoyngeyse	nguyhoy/NNC+ngeyse/PAD
hwakcengtoyl	hwakceng/NNC+toy/XSV+ngul/EAN
ngyeycengngingese	ngyeyceng/NNC+ngi/CO+ngese/ECS
ngittaykkacinun	ngittay/NNC+kkaci/PAU+ngun/PAU
ttwulyeshan	ttwulyes/NNC+ha/XSJ+ngun/EAN
kyelcengngi	kyelceng/NNC+ngi/PCA
naylyecici	naylyeci/VV+ci/ECS
nganhngul	nganh/VX+ngul/EAN
kesngulo	kes/NNX+ngulo/PAD
ponginta	pongi/VV+nunta/EFN
.	./SFN
^EOS
kwake	kwake/NNC
lentensicangngul	lenten/NPR+sicang/NNC+ngul/PCA
cinayn	cinay/VV+ngun/EAN
cwaphanguyngwenngulo	cwapha/NNC+nguyngwen/NNC+ngulo/PAD
taycwungcek	taycwung/NNC+cek/XSF
