	XSV	PAU	XPF	PCJ	XSJ	PAD	NNUx	EPF	PCA	PAN	SCM	EAN	<s>	DAN	NNC	ECS	NNX	XSf	NNU	EAU	ADV	CO	VV	VJ	ENM	SLQ	NFW	SRQ	ADC	EFN	XFP	VX	NPN	SSY	SFN	IJ	XSF	NPR
NNU	-10.870365	-9.870365	-10.870365	-10.870365	-10.870365	-7.548437	-10.870365	-10.870365	-8.063010	-8.285402	-8.285402	-10.870365	-10.870365	-10.870365	-4.285402	-10.870365	-0.595404	-10.870365	-2.222906	-10.870365	-10.870365	-10.870365	-9.870365	-10.870365	-10.870365	-10.870365	-7.063010	-6.963474	-10.870365	-10.870365	-10.870365	-10.870365	-10.870365	-6.226509	-10.870365	-10.870365	-6.478047	-8.870365	
EAU	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-4.285402	
ADV	-9.162391	-7.577429	-9.162391	-9.162391	-9.162391	-8.162391	-9.162391	-9.162391	-9.162391	-9.162391	-7.577429	-9.162391	-9.162391	-7.577429	-1.038270	-9.162391	-9.162391	-9.162391	-4.117997	-9.162391	-4.914464	-9.162391	-2.804839	-4.033108	-9.162391	-5.074928	-7.162391	-8.162391	-9.162391	-9.162391	-9.162391	-8.162391	-6.577429	-9.162391	-9.162391	-9.162391	-9.162391	-3.255501	
CO	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-4.725650	-9.310613	-9.310613	-9.310613	-1.710700	-9.310613	-9.310613	-9.310613	-4.666757	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-5.503258	-9.310613	-9.310613	-9.310613	-9.310613	-0.880160	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	-9.310613	
VV	-11.202124	-11.202124	-11.202124	-11.202124	-11.202124	-11.202124	-11.202124	-2.188103	-11.202124	-11.202124	-11.202124	-1.809806	-11.202124	-10.202124	-11.202124	-1.250839	-11.202124	-11.202124	-11.202124	-10.202124	-11.202124	-11.202124	-11.202124	-11.202124	-5.114661	-11.202124	-11.202124	-11.202124	-11.202124	-4.992670	-11.202124	-11.202124	-11.202124	-11.202124	-11.202124	-11.202124	-11.202124	-11.202124	
VJ	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-4.957772	-8.658211	-8.658211	-8.658211	-1.166358	-8.658211	-8.658211	-8.658211	-2.215268	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-4.658211	-8.658211	-8.658211	-8.658211	-8.658211	-2.429393	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	-8.658211	
ENM	-8.098032	-4.191141	-8.098032	-8.098032	-8.098032	-1.740480	-8.098032	-8.098032	-2.513070	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-5.513070	-8.098032	-3.776104	-8.098032	-8.098032	-8.098032	-7.098032	-8.098032	-2.215389	-4.928107	-8.098032	-8.098032	-8.098032	-7.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-8.098032	-6.513070	-8.098032	
SLQ	-9.228819	-9.228819	-6.906891	-9.228819	-9.228819	-8.228819	-9.228819	-9.228819	-9.228819	-9.228819	-9.228819	-9.228819	-9.228819	-4.274622	-1.728973	-9.228819	-9.228819	-9.228819	-3.500898	-9.228819	-4.705257	-9.228819	-6.421464	-7.643856	-9.228819	-7.643856	-3.019365	-9.228819	-6.906891	-9.228819	-9.228819	-9.228819	-4.906891	-9.228819	-9.228819	-8.228819	-9.228819	-1.845114	
NFW	-8.179909	-4.372554	-8.179909	-6.594947	-8.179909	-4.092446	-8.179909	-8.179909	-4.009984	-4.594947	-7.179909	-8.179909	-8.179909	-8.179909	-1.672114	-8.179909	-5.857981	-8.179909	-8.179909	-8.179909	-8.179909	-7.179909	-7.179909	-8.179909	-8.179909	-5.372554	-4.594947	-2.030162	-7.179909	-8.179909	-8.179909	-8.179909	-8.179909	-5.179909	-8.179909	-8.179909	-8.179909	-7.179909	
SRQ	-9.224002	-4.764570	-9.224002	-6.639039	-9.224002	-2.064130	-9.224002	-9.224002	-3.201634	-4.469114	-5.523562	-6.416647	-9.224002	-6.902074	-2.831684	-3.700440	-5.764570	-9.224002	-7.639039	-9.224002	-9.224002	-2.442642	-8.224002	-8.224002	-9.224002	-8.224002	-9.224002	-7.639039	-9.224002	-9.224002	-9.224002	-9.224002	-9.224002	-6.902074	-9.224002	-9.224002	-6.639039	-5.054077	
ADC	-7.918863	-7.918863	-6.918863	-7.918863	-7.918863	-7.918863	-7.918863	-7.918863	-7.918863	-7.918863	-7.918863	-7.918863	-7.918863	-4.459432	-1.349008	-7.918863	-7.918863	-7.918863	-5.111508	-7.918863	-6.333901	-7.918863	-6.918863	-6.333901	-7.918863	-4.459432	-5.596935	-7.918863	-7.918863	-7.918863	-6.918863	-7.918863	-6.333901	-7.918863	-7.918863	-7.918863	-7.918863	-1.748938	
EFN	-10.911392	-5.663464	-10.911392	-10.911392	-10.911392	-2.126757	-10.911392	-10.911392	-7.911392	-8.911392	-10.911392	-3.771841	-10.911392	-9.911392	-7.326429	-4.889024	-9.911392	-10.911392	-9.326429	-10.911392	-9.911392	-10.911392	-7.741467	-10.911392	-9.911392	-9.911392	-10.911392	-3.580475	-10.911392	-10.911392	-10.911392	-8.911392	-10.911392	-10.911392	-0.938412	-10.911392	-10.911392	-8.589464	
XFP	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-4.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-5.357552	-3.772590	
VX	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-3.203764	-9.890264	-9.890264	-9.890264	-1.730393	-9.890264	-9.890264	-9.890264	-2.406448	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-5.135377	-9.890264	-9.890264	-9.890264	-9.890264	-1.563835	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	-9.890264	
NPN	-8.092757	-1.825971	-8.092757	-8.092757	-8.092757	-2.392317	-8.092757	-8.092757	-2.807355	-4.507795	-8.092757	-8.092757	-8.092757	-8.092757	-4.507795	-8.092757	-5.092757	-8.092757	-8.092757	-8.092757	-8.092757	-7.092757	-8.092757	-5.285402	-8.092757	-6.092757	-8.092757	-8.092757	-8.092757	-8.092757	-8.092757	-8.092757	-8.092757	-8.092757	-8.092757	-8.092757	-3.138561	-7.092757	
SSY	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-5.118941	-7.118941	-7.118941	-7.118941	-2.364054	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-5.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-7.118941	-0.989658	
SFN	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-0.063379	-10.032046	-8.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-10.032046	-9.032046	-10.032046	-10.032046	-10.032046	-9.032046	-10.032046	-10.032046	-10.032046	-10.032046	-8.032046	
IJ	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-4.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	-5.285402	
XSF	-8.296151	-3.208689	-9.881114	-7.296151	-9.881114	-2.604990	-9.881114	-9.881114	-2.541264	-3.222902	-7.296151	-9.881114	-9.881114	-9.881114	-2.106327	-9.881114	-5.237258	-9.881114	-5.793651	-9.881114	-8.296151	-3.471723	-8.296151	-8.881114	-8.881114	-8.296151	-8.881114	-6.881114	-8.296151	-9.881114	-9.881114	-9.881114	-9.881114	-9.881114	-9.881114	-9.881114	-7.073759	-6.296151	
NPR	-11.633449	-3.832549	-8.311521	-5.241132	-11.633449	-3.478631	-11.633449	-11.633449	-3.989593	-3.696811	-5.174018	-11.633449	-11.633449	-6.726559	-1.508036	-11.633449	-5.933010	-11.633449	-6.463524	-11.633449	-10.633449	-10.048487	-10.048487	-9.633449	-11.633449	-4.800559	-7.726559	-5.423996	-8.463524	-11.633449	-11.633449	-11.633449	-10.048487	-5.633449	-9.633449	-11.633449	-5.524925	-2.888616	
